area_detail,ward_name
"shettihalli cross, seenappa layout, old junjappa temple bananna layout, 2nd cross",unknown
towards down babanna layout,kumaraswamy layout
"chinnamma layout, mallsandra",chikkallasandra
"rangappa layout, near maket, babanna layout",unknown
"29th, 30th, 31st cross, bagalgunte",bagalagunte
"23rd cross to 28th cross, bagalgunte",bagalagunte
"19th, 20th, 21st, 22nd cross, bagalgunte",unknown
"18th, 18tha, 17th, 16th cross, bagalgunte",unknown
11th to 15th cross bagalgunte,bagalagunte
"9th to 4th cross, bagalgunte",bagalagunte
"bagalgunte old village, bagalgunte",bagalagunte
"devarabavi road, bagalgunte",bagalagunte
"phiniox school road, bagalgunte",bagalagunte
"1st to 5th cross, vijayalakshmi layout",unknown
"4th to 8th cross, ragi mill road, vijayalakshmi layout",unknown
katarayanagar,jayanagar
"1st to 3rd cross vinayaka nagar, bagalgunte",unknown
coconut garden/manjunath nagar,shakthiganapathi nagar
manjunath nagar new extn,maruthiseva nagar
mahalakshmi nagar/ manjunath nagar,mahalakshmipuram
"1st to  9th cross, 2nd main, ashok nagar, byrappa layout",unknown
1st main manjunath nagar,hanumanthanagar
"9th cross, saop facotry layout",hsr layout
ganapathi badavane/ismail thota,shakthiganapathi nagar
"1st to 2nd cross sheshadri layout, andanappa layout",unknown
"1st to 14th cross, mei layout",hsr layout
bagalgunte main road,bagalagunte
kare kallu/brundavan layout,kumaraswamy layout
munikondappa layout,nandini layout
muneshwara nagar,muneshwaranagar
behind indira canteen mallasandra,neelasandra
opp. govt hopital,unknown
lakkanna layout,nandini layout
defence colony,deepanjali nagar
"1st to 7th cross, m.s.ramaiah layout",hsr layout
"havnur layout, rajareddy layout, andanappa layout",unknown
"havnur layout, defence colony",hsr layout
bagalgute maramma temple,dattathreya temple
gowdike hola/ kini layout,nandini layout
1st to 13th cross siddehalli main road/ vishvehswariah layout,unknown
"sheshadri layout, bts layout",hsr layout
"1)208 sfs, 407 sfs,
2)707 sfs, 249 chs, shirke apartments,nagarjuna apartments,",unknown
"1)someshwara nagar,  chikkabommasandra,
2) judicial layout (down)",unknown
"a sector, b sector, 1 , 11 and 3rd phase, mathru l/o, pm  enclave, shardanagar,",unknown
"gandhinagar (old town), suggappa l/o, yelahanka village, maruthinagar 1st main 15th to 25th cross, venkatala layout",unknown
"1)atturu layout, 
2) escort layout. 
3) judicial layout,",unknown
"4) shirke apartments,nagarjuna apartments,",unknown
"1)muneswara layout, 2)srigandha layout, 3)thirumalanagar",shakthiganapathi nagar
"vinayaka layout, susheelamma layout",unknown
"208 sfs, 407 sfs, 707 sfs, 249 chs, shirke apartments,nagarjuna apartments,",unknown
"someshwara nagar,  chikkabommasandra, judicial layout (down )",unknown
"1)a sector, b sector, 1 , 2 and 3rd phase,",unknown
"2) mathru  l/o, pm enclave, sharadanagar",muneshwaranagar
"vinayaka layout, susheelamma layout , isaac layout, khb puttenahally, janatha colony",unknown
"canara bank layout,virupakshipura,dhanalakshmi layout,ganesh layout,buddajyothi layout,  ,telecom layout& maramma temple surroundimgs",unknown
"defence layout, narasipura  &  narasipura layout",unknown
doddabomsandra,doddabommasandra
"bel layout 6th block,hmt layout 1,2,3,4,5,6 & 7 th block",unknown
nti layout & bel 4 th block,nandini layout
"sir m.v. layout,ananda layout,parvathamma layout ,indian express layout,siddi vinayaka layout,sonnegowda layout,kodigehalli enclave",unknown
"apc layout ,lakhe shore garden bullet krishnappa layout ,anjaneya layout,siddlingeshwara layout,utnalappa layout,miniswamappa layout,veerana layout   & thindlu",unknown
"basava samithi,jnaneshwari layout,sapthagiri layout,gurudarshan layout & nanjappa circle surroundings",unknown
"bel layout 1,2,3 & 5 th block",hbr layout
"kuvempu nagara 1 st & 2 nd stage, & naidu layout",kumaraswamy layout
"raghavendra colony, teachers layout , ms palya , koyas factory & surroundings",unknown
"bharath nagara, vinayaka nagara, maruthi layout, varada raja nagara, singapura paradise, somanna layout, seenapa layout",unknown
"ramachandra  pura , maramma block  muniramaiah badavane , devappa badavane, gangamma circle , dc layout , muneshwara badavane, gangamma gudi, cococnut garden ,kallaathur alyout & hanuman layout",unknown
"srinidhi layout, vaishnavi laypout, sai garden, kamath layout,  balaji layout",unknown
"nanjappa layout, chamundeshwari layout, blue moon garden , blue film garden, ramanna garden .patel pillegowda layout, ramiah layout, elumandamma badavane ,db sandra",unknown
"singapura village ,singapura layout, varadaraya swamy layout,gk.muniyappa layout , simhadri layout, lakappa layout, miniswamappa layout, hosabalu nagara, ashraya layout & n.murthy layout",unknown
bel 2 nd block,bellandur
"amco layout, dee enclave, hosahatti   layout, bb nagara, sonnegowda layout, maruthi nagara,hebbal sarovara layout",unknown
"devi nagar,jalgeramma temple road,ganesh temple road, kannuramma layout. arch road, muneshwara block. lkr nagar cpa layout",unknown
"bhadrappa layout, maruthi nagara , shantinekethan school road",unknown
"tata nagara, kodigehalli, ram mandira road, hanumiah badavane,",unknown
"balaji layout ,gr kalyana mantapa road,meha hertz road, kalpataru apartment road, ghee factory roadnarayana school  road & kodigehalli main road  & angalaparameshwari temple road",unknown
"sahakar nagar b,c & d block,cqal layout",kumaraswamy layout
amco layout,btm layout
"sahakar nagara e ,f g, a1 & a2 block",shakambarinagar
"sanjeevini  nagara, shanti vana",jeevanbhimanagar
"mazjid road,muniswamy gowda layout, venktegowda layout 3 ed cross.",unknown
"amruth magara a ,b & c sectors,bhuvaneshwari nagara & verma layout",rajarajeshwarinagar
"amruthalli village , bhadrappa layout, hotappa layout, kashi nagara ramshetty layout,",unknown
"ramiah north city , manjunath layout, byraveshvara layout (nanda gokula e-1))",unknown
"jakkur layout, navya nagara,mchs layout,bgs layout,behind jnc ,telecom layout, shivram karanth nagara phase 2",unknown
"netaji layout,vayu nandana badavane, kuvenpu badavane",unknown
coffee board layout,hbr layout
