Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
137,,,,,
138,,,Viya Bank colony & Green park layout,,10PM-2PM
139,,HRBR,2nd block HRBR l/o,,2AM to 7AM
140,,LRP,"R S Palya, Oill Mill road & surrounding areas",,8AM to 9PM
141,,,"Jankiram Layout, Kanakadasa Layout",,11AM to 9PM
142,,OMBR,"Banasawadi village upper, Krishna reddy layout & Gopal reddy layout",Wednesday,6.00 AM-10 AM
143,,,"Chikka Banasawadi, Jai javan nagar",,10AM to 5PM
144,,HRBR,HRBR I &II block,,3AM to 10AM
145,,,Kammanahalli village,,6PM to 11PM
146,,,HRBR 1st block(service road),,7 to 12.30
147,,HBR,"HBR Layout, 1st Block to 5th Block",,3:00 AM-9:00 AM
148,,LRP,"HRBR 3rd Block, K K Halli & surrounding areas",,10AM to 8PM
149,,OMBR,OMBR layout,Thursday,11 PM(sun-Night)-10:00 AM
150,,,"Kasturinagar, East of NGEF layout, B channasandra, Dr. layout, Lal bhaddur nagar",,10:00 AM-4:30 PM
151,,,"Subbaiahna palya, Kullappa circle Down ",,4:30 AM-10:30 PM
152,,HBR,Nagawara CMC areas,,8:00 AM-8:PM
153,,HRBR,2nd block HRBR l/o,,2AM to 7AM
154,,HBR,Hennur CMC areas,,5:00 AM-4:PM
155,,LRP,Lingarajpuram Village,,"10PM(Wed Night)
 to 10PM"
156,,OMBR,"RS Palya , ITC Road & Kullappa  circle( up)",Friday,10AM to 5PM
157,,HRBR,HRBR I &II block,,3AM to 10AM
158,,,kammanahalli village,,6PM to 11PM
159,,HBR,"HBR Layout, 1st Block to 5th Block",,3:00 AM-9:00 AM
160,,LRP,"HRBR 3rd Block, K K Halli & surrounding areas",,10AM to 8PM
161,,OMBR,OMBR layout,Saturday,11 PM(sun-Night)-10:00 AM
162,,,"Kasturinagar, East of NGEF layout, B channasandra, Dr. layout, Lal bhaddur nagar",,10:00 AM-8:30 PM
163,,,Banasawadi village downside,,4:00 PM-9:30 PM
164,,,,,
165,,,Viya Bank colony & Green park layout,,10PM-2PM
166,,HRBR,2nd block HRBR l/o,,2AM to 7AM
167,,LRP,"R S Palya, Oill Mill road & surrounding areas",,8AM to 9PM
168,,,"Jankiram Layout, Kanakadasa Layout",,11AM to 9PM
169,,OMBR,"Banasawadi village upper, Krishna reddy layout & Gopal reddy layout",Sunday,6.00 AM-10 AM
170,,,"Chikka Banasawadi, Jai javan nagar",,10AM to 5PM
171,,HRBR,HRBR I &II block,,3AM to 10AM
172,,,Kammanahalli village,,6PM to 11PM
173,,,HRBR 1st block(service road),,7 to 12.30
174,,HBR,Hennur CMC areas,,5:00 AM-4:PM
175,E-3,K R Puram ,"SUNSHINE L/O , SAI RAM L/O ,BANK COLONY, Mukthi Vinayaka L/O",Monday,8.30am-11.30pm
176,,,"MUNIYAPPA GARDEN  L/O , OIL MILL ROAD , KUMBAR BEEDI , K V  L/O, V B L/O ,  NEW BAZAAR STREET , ANANDAPURA",Tuesday,11.30pm -2pm
