Area Wise Water Supply timings ,,,,,
SI NO,Subdivision,service Station,Area(in Detail),Days of Supply,Timings
1381,,,"Lakshmipura main road -1st,2nd, 3rd, 4th, 5th, 6th,7th Cross, Near Gavigangadhara temple road,",,8.30 A.M TO 11.00 A.M
1382,,,"Lakshmipura 7th, 6th, 8th Cross road",,11.00 A.M TO 2.00 P.M
1383,,,Akkamahadevi Road & Yoganjaneya temple  road,,8.30 A.M TO 10.30 A.M
1384,,,"Lakshmipura Quarters, 3rd, 4th, 5th cross roads, Near Quarters,",,12.30 P.M TO 5.30 P.M
1385,,,A K Colony,,2.30 P.M TO 5.30 P.M
1386,,,"Ramanjaneya road, Hanumanthanagaar",,12.30 P.M TO 2.30 P.M
1387,,,"Maradi subbayya choultry backside, ramanjaneya road",,2.30 P.M TO 5.00 P.M
1388,,,"Near Sheshamahaganapathi temple - 6th, 7th, 8th cross road",,11.30 P.M TO 2.30 P.M
1389,,,"Aliamaprabhu road, near kamala nursing home",,10.30 A.M TO 12.00 P.M
1390,,,Kamala nursing home road,,8.30 A.M TO 10.30 A.M
1391,,,"Kaveri nadi road, Kavi kesha raja road, Arkavathi road",,8.30 A.M TO 11.00 A.M
1392,,,"Narmada nadi road, Krishna nadi road, Godavari nadi road",,11.00 A.M TO 1.00 P.M
1393,,,"Sindhu nadi road, brahmaputra nadi road, ganga nadhi road",,1.00 P.M TO 3.00 P.M
1394,,,"ballala road,Chikkadevaraya road, shatavahanaru road, ridge portion",,3.15pm-5.30pm
1395,,,"ballala road,Chikkadevaraya road, shatavahanaru road, onake obavva road, shivappa nayaka road down portion",,5.30pm to 8.00pm
1396,,,"BSK IST STAGE SRINAGARA, Ananthmurty layout- 1,2 and 3 rd cross",,1.00pm- 3.00pm
1397,,,"12th main, 13 th main,X 1st , 2nd,3rd, 4th cross Kalappa block",,3.00pm-5.00pm
1398,,,"13th main, 11th cross, 9th, 10th,8th cross , ",,3.00pm-5.00pm
1399,,,"kalappa block 10th a main, 9th a main, 11th main, 8th cross, poornima studio near 8th and 7th cross",,6.00pm-8.30pm
1400,,,"Srinagar(ramanjaneya road) main road- 3,4th main roads, BSK IST STAGE SRINAGARA 5,6main roads",,1.00pm -3.00pm
1401,,,"Sindhu nadi road, brahmaputra nadi road, ganga nadhi road",,1.00pm -3.00pm
1402,,,"Bhuvaneshwari colony 1,2,3,4 and 5th cross roads",,1.00pm -3.00pm
1403,,,"ballala road,, brahmaputra nadi road, nethravathi nadi road,shivappa nayaka road ",,3.00pm-5.00pm
1404,,,"Rajkumara road, 5th main,krishna,yamuna ,sharavathi nadi road, pipe line main road",,5.30pm to 8.00pm
1405,SW-3,Nagendra block,Nagendra block 1st main to 4th main and Raghavendra block 1st main to 4th main and krishappa layout,,2 am to 4.30 am
1406,,,Nagendra block 5th main to 8th main and Raghavendra block 5th main to 8th main,,4.30 am to 7 am
1407,,,Nagendra block 9th main to11th main and Raghavendra block 9th main to11th main and muneshwar block 13th main to 17th main left said,,7 am to 9.45 am
1408,,, Avalahalli BDA park and  Muneshwar block 12 th main to 17th main right siad,,9.45 am to 12 pm
1409,,, Muneshwar block 17 th main 1st cross to 6th cross & 18 th main and 19th main and Avalahalli 1st cross,,12 pm to 3 pm
1410,,,vinoba colony 1st croos to 5th cross and gajendra nagar and muneshwar block 17th main 7th cross to 10 th cross,,3 pm to 6 pm
1411,,,Raghavendra block 12 th main 12 th cross to 8 th corss,,10 am to 12 pm
1412,,,"Raghavendra block 12 th main 7 th cross, 11th main,9 th main, 10 th amin",,12 am to 1.30 pm
1413,,,"Kalidasa layout 12, 13, 14 th main 1 st cros,, 2nd cross, 3 rd ross, 4th cross",,3 pm to 5.30 pm
1414,,Girinagar ,Ragavanagr 1st to 3 rd cross and Byatarayanapura 1st A to ! St E main & near Govt school,,9 am to 11.00 am
1415,,,"Ambedkar slum, Boregowda slum, Telecom layout, Byataranapura near 58 bus stop",,11.0 am to 1.45 PM
1416,,,"Girinagar Avalahalli BDA park and Hemavathi road, Kaveri road",,10 am to 12 pm
1417,,,Girinagar 4 th phase and 2nd phase,,12 pm to 2.30 pm
1418,,, Muneshwara block 20 th main to 25 th main,,2.30 pm to 4.30 pm
1419,,,Girnagar 60 feet road and 80 feet road,,4 pm to 6 pm
1420,,,Verabadra nagara Avalahalli BDA park area,,2.30 Pm to 4.30 pm
1421,,,Sriranga nagar 1 st to 4 th cross,,4.30 pm to 7.00 pm
1422,,,"Eeranna gudde, Kasturiba slum, Chmundeshwari nagar",,7 pm to 10.30 pm
1423,WEST-1,HOSAHALLI,"1st Cross to 4th cross, Ambedkar layout",Day 1,4.00 am to 7.30am
1424,,,"1st Cross to 5th cross, Telecom layout",,
1425,,,7th cross to 11th cross Telecom layout,,7.30am to 12.30pm
1426,,,"Service Road Pipeline, Vijayanagara",,6.00am to 12.30pm
1427,,,"1st cross, 3rd cross, Pipeline",,6.00am to 1.00pm
1428,,,"4th cross to 9th cross, Pipeline vijayanagar",,9.00am to 12.30pm
1429,,,"10th cross to 13th cross, pipe line, vijayanagar  (Down Part)",,7.00am to 9.30am
1430,,,"10th cross to 13th cross, pipe line, vijayanagar  (up Part)",,9.30am to 12.30pm
1431,,,14th cross to 15th cross Pipe line,,4.30am to 7.30am
1432,,,"Padarayanapura road and Kuvempu Circle, Pipeline vijayanagar",,6.00am to 12.30pm
1433,,,"8th, 9th, 9th A to 9th K main road, Vijayanagar",,7.00am to 1.00pm
1434,,,"1st cross to 2nd cross, Vijayanagar",,6.00am to 9.00am
1435,,,3rd cross to 7th cross Hosahalli,,9.00am to 4.00pm
1436,,,"1st A main road to 4th main, Hosahalli Vijayanagar",,2.00pm to 5.30am
1437,,,"9th main road to 10th main road, vijayanagar",,5.300am to 7.30am
1438,,,"5th main road to 9th main road, Vijayanagar",,4.30pm to 10.30pm
1439,,,"1st main road, 1st A cross to 1st B cross, near Manuvana, Vijayanagar",,6.00pm to 5.00am
1440,,,"13th cross, 11th and 12th main road, Adi Chunchanagiri college, Binnylayout, Vijaynagar",,4.30am to 11.00am
1441,,,"1st main road, 4th main road, Binny layout, Vijayanagar",,4.300am to 11.00am
1442,,,"5th A main road to 5th C main road, 6th main road to 6th C main road, Hmapinagar",,6.30am to 11.00am
1443,,,"14th cross Road to Railway paralell road, RPC layout, vijayanagar",,4.30am to 11.00am
1444,,,"1st A main road to 1st D main road, Binny layout vijayanagar",,7.00am to 11.30am
1445,,,"12th & 13th cross, 1st A main road and 1st D main road, Hampinagar",,7.30am to 12.30pm
1446,,,"15th main road, 17th main road, Vijayanagar",,11.00am to 5.00pm
1447,,,"11th main road to 14th main road, vijayanagar",,7.00am to 12.30pm
1448,,,"1st cross to 7th cross, A.K.Colony, Hosahalli",Day -2,10.30pm to 5.30am
1449,,,"5th main road to 9th main, Vijayanagar",,4.00pm to 5.00am
1450,,,"5th main road to 10th main road, Vijayanagar",,5.30pm to 5.00am
1451,,,"11th main road to 14th main road, Vijayanagar",,5.30pm to 6.00am
1452,,,"1st cross to 7th cross, Kavika Layout",,4.00pm to 10.00pm
1453,,,"1st cross to 6th cross, Venkateshwara Slum",,7.30am to 10.00am
1454,,,"9th main road to 11th main road, Service road, 9th A main road 9th E main road, Hampinagr",,8.00pm to 4.00am
1455,,,"7th main road, 7th cross, 6th A,B,C, 5th A,B,C, 4th B Cross, Hampinagar",,11.00pm to 5.00am
1456,,,"5th main road, 6th A cross to 6th C cross, Hampinagar",,6.00am to 11.00am
1457,,,5th A cross to 5th C cross,,12.00pm to 4.00pm
1458,,,"6th  main road, 5th A,B,C, 6th A, B, C cross road, RPC layout, Hampinagar",,12.00pm to 4.00pm
1459,,,"7th A main road, 7th C main road, Kalyana layout",,9.00am to 12.00pm
1460,,,"8th main road, 4th cross to 6th cross,",,12.00pm to 4.00pm
1461,,,"5th A main road, 5th C main road, 6th A to 6th C main road, 1st A cross to 1st C cross, Remco layout",,9.00am to 3.00pm
1462,,,"3rd main road, 2nd cross, 7th main road",,10.00am to 2.00pm
1463,,,"7th main road, 7th A cross, 7th C cross, 8th main road, 8th cross road, 6th cross road to 6th B cross, New colony RPC layout",,3.00pm to 5.00am
1464,,Magadi road,Gopalpura,Day-1,12.30 pm to 4.30pm
1465,,,"Kasturinagar, V.S.T.Colony, Avalamma Chatra",,12.30 pm to 1.30pm
1466,,,7th cross to 11th cross,,2.30am to 10.00pm
1467,,,"Cholurpalya 13th cross, P&T colony",,1.30pm to 3.30pm
1468,,,"Shankrappa Garden, Magadi road Right side",,12.30am to 5.30pm
1469,,,"Nagammanagar, Nethajinagar, Bhuvaneshwari nagar",Day-2,12.00pm to 9.30am
1470,,,"Keshavanagar 1st cross. Komal cabs road, Gandhi Statue road, Old Police station road to Bettamma circle, ",, Day-1                             4.30am to 8.00am                                            Day-2                              7.00am to 9.00am             
1471,,,16th cross to 21st cross,,10.00 am to11.00am
1472,,,"2nd cross to 7th cross, magadi road",,2.00pm to 8.00pm
1473,,,"Manjunath nagar, Cholurpalya, 6th cross to 12th cross road, Mallige thota",,12.30pm to 3.00pm
1474,,,"K.P.Agrahara, Bhuvaneshwarinagar",,3.00am to 9.00pm
1475,,,"Vidyaranya nagar, N.R.Garden, Manjunathnagar 1st cross road",,7.00 to 9.00pm
1476,,Mysore road,"Telecom layout 2 & 3rd cross, ward no. 157",,10:00 am to 11:30am
1477,,,"Kasturiba nagar, 1st main road,1st cross, pipeline west",,10:00 am to 01:30pm
1478,,,"Kasturiba nagar, 2nd main road,2nd cross,",,02:00 pm to 05:00pm
1479,,,"PK quatres, 1st & 2nd lines",,12:30 pm to 02:30pm
1480,,,"3rd main, kasturibanagar, 3rd cross & 1st main, sai jewels",,05:00pm to 08:00pm
1481,,,"Kasturiba nagar, 4th  & 5th cross, 1st main road",,08:00pm to 12:00am
1482,,,"kasturiba nagar, marthas school road, 6th cross, 1st mainroad, 2nd main, 3rd cross, basaveshwara school road",,09:30am to 12:30pm
1483,,,"sanjaynagar, maramma temple, slum area, sanjaynagar slum, pipeline, kasturiba nagar",,09:30am to 12:30pm
1484,,,"sanjaynagar slum, manoj kargo opp, plywood godown",,11:30am to 01:30pm
1485,,,"kasturiban nagar, 7th cross",,12:30pm to 03:30pm
1486,,,"kasturiba nagar, 6th main, 5th cross, 4th main, 2nd main, 5 th 6th corss",,03:30pm to 06:30pm
1487,,,"kasturiba nagar, 6th & 7th main full ",,06:30pm to 07:30pm
1488,,,"kasturiba nagar, 2nd main, 3rd cross, 8 & 9thcross, basaweshwara school near",,06:30pm to 07:30pm
1489,,,"manjunathnagar 4th to 7th cross, sunnichouk vishali school road, pipeline 4th to 6th cross",,03:00pm to 08:30pm
1490,,,"hosaguddadahalli a cross, x councilor roads, ganapathis temple down, maruthinagar area",,06:00am to 05:30pm
1491,,,"hosaguddadahalli E,F,G,H cross, 4th cross, sharadamma home road (half)",,08:30pm to 07:30am
1492,,,"hosaguddadahalli, 3rd nd 4th cross, A,B,C,D,E cross",,05:30pm to 05:00am
1493,,,"hosaguddadahalli b a cross down, c cross down, d cross, t.b. krishna home road, balaji choultry road",,05:30pm to 05:00am
1494,,,"cable ramesh road, 2nd main road, arch road, 2nd cross, mahadeshwara temple road, hosaguddadahalli",,05:30pm to 05:00am
1495,,,"unity hospital, shamanna garden 9th cross, bwssb road, upto srikantappa building",,06:00am to 03:00pm    
1496,,,"shamanna garden pipeline, 1st,2nd,5th cross",,06:00am to 09:00am
1497,,,shamanna garden ahad medicals to ranganath provision store main road,,06:00am to 09:00am
1498,,,"shamanna garden ahad medicals to 5 & 6th cross, railway parlar road",,06:00am to 09:00am
1499,,,shamanna garden firaz home to bapujinagar mainroad,,06:00am to 09:00am
1500,,,"shamanna garden, bwssb main road, 6th, 7th & 8th cross ",,07:00am to 10:00am
1501,,,"shamanna garden, 3rd main, 5th cross",,09:00am to 01:00pm
1502,,,"shamanna garden, 5th a main, 6th main, kudalath home road, upto complex and railway paral",,09:00am to 01:00pm
1503,,,"6th main down, shamanna garden",,09:00am to 01:00pm
1504,,,"from unity hospital to anwar godown, shamannanagar main road",,10:00am to 01:00pm
1505,,,"shamanna garden, 7th main half and 4th cross",,09:00am to 01:00pm
1506,,,"shamanna garden, 7th main 1st,2nd,3rd cross",,01:00pm to 04:00pm
1507,,,"shamanna garden, 4th main, 4th cross, gafur home road, from anwar godown to meter wall",,01:00pm to 03:00pm
1508,,,"shamanna garden, 6th main half, 5th main, 6th cross",,01:00pm to 04:30pm
1509,,,"niveditha school road, ajmal home road, 7th cross, shamanna garden",,03:00pm to 07:00pm
1510,,,"shamanna garden, 4th main, muthanjaneya swamy temple road",,05:00pm to 08:00pm
1511,,,"from srikantappa building 1st, 2nd main, 2nd cross, shobha tent, bapujinagar, 4th main, 4th cross, 6th main ",,08:00pm to 04:00am
1512,,,hosakerehalli main road,,06:00am to 09:00am
1513,,,"bytarayanapura, iyanna shetty layout, 1sst, 2nd, 3rd main road",,06:00am to 09:00am
1514,,,ganapathinagar 1st to 5th cross,,06:00am to 09:00am
1515,,,ganapathinagar 5th to 9th cross,,08:30am to 09:45am
1516,,,"bytaryanapura apartment road, papanna mutton stall, a cross",,06:00am to 09:45am
1517,,,"bytarayanapura mm road, k.v.k quatres, narasimahiah badavane, 1st to 5th cross",,06:00am to 08:35am
1518,,,"bytarayanapura narasimaiah badavane 6th to 9th cross, sharadha school road and surroundings",,08:35am to 09:45am
1519,,,bapujinagar 12th to 17th cross down,,06:00am to 09:30pm
1520,,,bapujinagar 12th to 17th cross up,,09:30am to 05:30am
1521,,,"chowdappa layout, 4th main and crosses, 3rd main, 1st main, ananthanagar cross",,09:30am to 05:30am
1522,,,"bapujinagar 3rd main road, 3rd a & b cross, 18th main road, handigudisalu slum place",,09:30am to 05:30am
1523,,,"bapujinagar 2nd main road, 1st to 6th cross",,05:30am to 11:00am
1524,,,bapujinagar 5th mainroad and 1st to 4th cross,,07:00am to 12:00pm
1525,,,"5th main & 6th mainroad, kavika layout",,07:00am to 12:00pm
1526,,,"new kavika layout, 6,7,8,9th cross and slum place",,12:00pm to 03:00pm
1527,,,"maruthinagar, 1st mainroad & service road, 7th to 9th cross, maruthinagar",,12:00pm to 05:30pm
1528,,,"kavika layout, 7th to 9th cross",,03:00pm to 08:00pm
1529,W-2,Annapoorneshwari Nagar,Chandana Layout, Alternate days Supply,"6.30 am to 11.30 am / 5 Hours
Alternate days Supply"
1530,,,Hanumantha Nagar,,
1531,,,Kebbehalla,,
1532,,,Byraveshwara Nagar,,
1533,,,Hanumantharayana palya,,
1534,,,Channappa Layout,,
1535,,,Annapoorneshwari Nagar   1st block and part of,  Alternate days Supply,05.30 AM to 9.30 AM / 4 Hours
1536,,,"Health Layout, ",,
1537,,,Kandaya nagara and Annapoorneshwari nagara surrounding area,,9.30 AM to 1.00 PM / 3.30 Hours
1538,,,Annaporrneshwarinagara 1st main and 2nd main,,1.00PM to 3.00 PM / 2 Hours
1539,,,"Part of Health Layout, part of Hanumantha nagara and VTU surrounding area",,1.30PM to 9.30 PM /  8 Hours
1540,,,"Nagarabhavi 6th block, 2nd block (Part by Part) 5 hours each part",,5.30AM to 3.30 PM /  10 Hours
1541,,,Binny layout,,5.30AM to 10.30 AM /  5 Hours
1542,,,"D' Group layout, Benachukalpalya, (S/Stn GLR)",,6.30AM to 1.30 PM /  7 Hours
1543,,,Chandrashekar Layout 1st main and surrounding area ,,3.00 PM to 5.00 PM / 2 Hours
1544,,,Jayalakshmi Layout/Arunchalam Layout/Binny layout,,7.30 AM to 10.00 AM / 2.30 Hours
1545,,,"Eranpalya / RHBCS E Block, and C' block                                                          Part of 'D' group Layout",,10.00 AM to 12.30 PM / 2.30 Hours
1546,,,Chandrashekar Layout Ganesha temple surrounding area,,12.30 PM to 3.00 PM / 2.30 Hours
1547,,,Chandrashekar Layout 2nd main and surrounding area,Alternate days Supply,5.30 PM to 7.30PM / 2 Hours
1548,,," Part of ITI Layout, MPM layout, Papareddy palya, vidhanasoudha layout, and Gowramma layout, part of Bayamma layout, part of D' group layout (near D' group park)",,7.00 AM to 1.00 PM / 5 Hours (one supply)                                       7.00 AM to 3.00 PM (another alternate supply)                              
1549,,,"Kengute, Honnappa layout, KK layout, part of ITI layout near ward office, Mines and geology layout, vidhanasoudha layout",,1.00 PM to 5.00 PM / 4 Hours (one supply)                                       3.00 PM to 5.00 PM (another alternate supply)                              
1550,,,Mallathahalli Village and NGEF Layout,Alternate days Supply,1.00 PM to 5.00 PM / 4 Hours (one supply)                                       3.00 PM to 5.00 PM (another alternate supply)                              
1551,,,9th Block Sri M.Vishweshwaraiah Layout,,
1552,,,Kadmba Layout,,
1553,,,Balaji Layout,,
1554,,,Muneshwara nagar,,
1555,,,Ullal Main Road,,
1556,,,Annapoorneswhari Layout,,
1557,,,Press Layout,,
1558,,,Railway Layout,,
1559,,,BHEL Layout,,
1560,,,Jnanaganga nagar,,
1561,,,Jnana Jyothi nagar,,
1562,,,Gavipuram layout,,
1563,,,"RHBCS IInd Stage, Narasapura",Alternate days Supply,1.00 PM to 5.00 PM / 4 Hours (one supply)                                       3.00 PM to 5.00 PM (another alternate supply)                              
1564,,,,,
1565,,Nagarabhavi,"1st Block, 3rd Block,4th Block, 5th Block,7th Block, 8th Block and janatha colony",Alternate days Supply,6.00 AM to 11.00 AM / 5 Hours
1566,,,"10th Block, 11th Block, NGEF Layout, Nisarga Orchids, pappareddypalya, 9th Block 1st main to 8th main road",,6.00 AM to 11.00 AM / 5 Hours
1567,,,Ramakrishna Layout and Malgala Village,,1.00 PM to 6.00 PM / 5 Hours
1568,,,Kottige palya and surrounding area of narasimhainapalya,,12.30 PM to 5.30 PM / 5 Hours
1569,,,"12th Block, 13th Block, 14th Block, Vinayaka Layout, Sapthagiri Layout, 9th Block 9th Main road to 14th main road",,11.00 AM to 3.00 PM / 4 Hours
1570,,SIR M. VIVESVARAYA,1st Block to 6th Block,Alternate days Supply,9.00 AM to 12.30 PM / 3.30 Hours
1571,,,7th Block to 8th Block ,,12.30 PM to 4.00 PM / 3.30 Hours
1572,,,"9th Block, Bhavaninagar 2nd stage (RHBCS), Balagi Layout, HMT Layout, Raghavendra Layout, Nisarga Layout, Income Tax Layout ",,4.00 PM to 8.00 PM / 4 Hours
1573,W-3,KST,Shirke Flats ,Altranate days,7 am to 11 am
1574,,,MTS Layout,4 days once in supply,7 am to 11 am
1575,,,"Kavika Layout, ",,7 am to 11 am
1576,,,BDA Jnanabharathi 1st Block 9th Cross to 12th Cross,,7 am to 11 am
1577,,,"80 feet Road, Hoysala Circle 1st Main Road and Surrounding area",,7 am to 11 am
1578,,,"Gandhi Nagar, Subhas Nagar 1st Main to 6th main",,7 am to 11 am
1579,,,"Nagadevanahalli, Doddagollarahatti  and surrounding area",,7 am to 11 am
1580,,,"Bhuvaneshwari Nagar, Dubasipalya and surrounding area",,7 am to 11 am
1581,,,"Jnanabharathi 1st and 2nd block, Forest Layout, RR Layout",,7 am to 11 am
1582,,,Amma Ashrama and surrounding area,,7 am to 11 am
1583,,,Mariyappana palya surrounding area,,7 am to 11 am
1584,,,"Suncity, Vinayaka Nagar, Sachidananda Nagar, Rabin theature ",Altranate days,9 am to 11 am
1585,,,"and surrounding  area, Bandematta, 7th Main, Kalikamba temple",,4 days
1586,,,"Subhas nagar, Mini Gandhinagar and surrounding area",,9 am to 11 am
1587,,,"Kengeri Village (old kengeri) and Kengeri Sattallite town,",,9 am to 11 am
1588,,,"Mutharayanagar, ISI, ",,4 days
1589,West-4,Chandra layout,"Income Tax Layout,Binny Layout, Agromore Layout ",1st Day,6:00AM to12:00PM
1590,,,"Gangodanahalli Slum, 1st Cross to 17th Cross Nayandanahalli ,Metro Layout ",,9:00AM to5:00PM
1591,,,"ChandraLayout, 2nd Stage, 2nd Phase,2nd Cross to11th Cross",,12:00PM to5:00PM
1592,,, NewIncome Tax Layout,,9:00AM to 2:00PM
1593,,,"Hyosalanagara ,Manasanagara ",,2:00PM to 6:00PM
1594,,,"ChandraLayout, 1st Stage, 1st Phase 11th Cross to 17th Cross",,9:00PM to 5:00PM
1595,,,"BCC Layout 1st Stage And 2nd Stage,Venkateshvara Layout ,Nethaji Layout,Mico Layout",,9:00PM to 5:00PM
1596,,,"ChandraLayout, 2nd Stage,Bus Dipo Backside ",,6:00PM to12:00PM
1597,,,"Nayandanahalli,Vinayaka Layout,I.T.I Layout,Suvarna Layout",,9:00PM to 5:00PM
1598,,,"Attiguppe, Indira Colony, Viewers Layout ",,9:00PM to 5:00PM
1599,,,"Amarajothinagara,SampigeLayout,Saraswathinagara, Gangadhar Layout,K,H,B Quatres",,9:00PM to 2:00PM
1600,,,MC Layout 20th Cross to 17th Cross ,,10:00AM to  2:00PM
1601,,,"Bantara Sanga,Service Road,Marenahalli,Vinayaka Layout ,GKW Layout, PF Layout,Bapuji Layout Basaveshwara Layout, chikpete Layout, Hallidasa Layout,MC Layout, 21st Cross And 22nd Cross ",,7:00PM to4:00AM
1602,,,"Sports,Nack,AMD,LAW Collage.",2nd Day,6:00AM to 12:00PM
1603,,,"Viedo Layout Basaveshwara Layout,ChandraLayout",,9:00AM to 3:00PM
1604,,,"Dwarakanagara,Nisarga Layout.",,9:00AM to 3:00PM
1605,,,"Skylon City And Skylon Tower,Apartment",,9:00AM to 3:00PM
1606,,,"Nagarabhavi Village,N.G.F Layout, Isack",,12:00PM to 6:00PM
1607,,,R.P.C Layout 9th Main to11th MainService Road,,6:00AM to 1:00PM
1608,,,Deepanjalalinagara1st Part ,,1:00PM to 6:00PM
1609,,,"Part 1 Deepanjalalinagara 2nd Part, Kavika Layout 2)                                                            Part 2 Deepanjalalinagara 2nd Part, Kavika Layout ",,6:00PM to 4:00AM
1610,,,"Joythi nagara,Maruthinagara,Vidhyagiri Layout",,9:00PM to 5:00PM
1611,,,"F.C.I Layout, Roshannagara,MysoreRoad",,8:30AM to 2:30PM
1612,,,"PantharaPalya, Mysore Road",,8:30AM to 2:30PM
1613,,,I.T.I layout Mysore Road,,9:00AM to 12:00PM
1614,,,"Jothinagara, Hanumanthappa Layout,Mysore Road",,2:00PM to 5:00PM
1615,,,"Ranganath Colony,Flower Garden,Mysore Road",,4:00PM to 12:00AM
1616,,,"Viyalli kaval,Subanna Garden,Bapugi Layout, K.P.A Block",,4:00AM to 10:00AM
1617,,,Maruthi Layout ,,6:00AM to 12:00PM
1618,,,9th Main to 15th Main MC Layout ,,7:00AM to 2:00PM
1619,,,16th Main to 19th Main MC Layout,,10:00AM to 3:00PM
1620,,Moodalapalya,"Hucchappa L/o, Shrinivasanagar,",1st Day,9.00 PM to 1.00 AM
1621,,,Pattegarapalya,,9.00 PM to 1.00 AM 
1622,,,"S.V.G Nagar, Kaveri L/o,",,1.00 AM To 9.00 AM
1623,,,Moodalapalya Village,,1.00 AM To 9.00 AM 
1624,,,Byraveshwaranagar,,8.00 AM To 2.00 PM  
1625,,,Kalyan nagar,,2.00 PM to 7.00 PM 
1626,,,Coconut garden,2nd Day,10.30 PM To 3.00 AM 
1627,,,Garden villas,,10.30 PM To 3.00 AM
1628,,,Adarshanagar,,10.30 PM To 5.00 AM
1629,,,Kanaka nagar,,9.AM TO 12.30 PM
1630,,,"Annapoorneshwari nagar 1,2,3,4th cross",,12.30 PM to 5.30 PM
1631,,,"Panchasheelanagar 5th,6th,7th,8th cross",,9.00 AM to 2.00 PM
1632,,,"Annapoorneshwarinagar 5th,6th,7th,8th cross",,2.00 PM to 4.00 PM
1633,,,"Sanjeeninagar  7th cross,",,9.00 AM to 2.30 PM
1634,,,"Sanjeeninagar 6th, 7th, 8th cross,",,2.30 PM to 9.00 PM
1635,,,Shakthi garden,,4.00 PM to 9.30 PM 
1636,,,"Kalyan nagar 1st main road, 1st to 8th cross",,3.00 PM to 9.30 PM
1637,,,"Sanjeevinagar 2nd , 3rd, 4th, 5th cross",,5.30 PM to 9.30 PM 
1638,,,Bhakthi lingeshwara nagar,,9.00 AM to 3.30 PM
1639,,,Sanjeevininagar 2nd cross,,3.30 PM to 9.30 PM
1640,,,Amarjyothyinagar 1st to 6th cross,,5.30 PM to 12.30AM
1641,,Vijaynagar OHT,Housing Board, 1st Day ,10:00AM to 3:30 PM
1642,,,MC Layout ,,4:00PM to 3:00 AM
1643,,,Prashanth Nagara,,3:30PM to 4:00 AM
1644,,,HVR Layout,,4:00PM to 6:00 AM
1645,,,Syndicate Bank Colony ,,6:00PM to 6:00 AM
1646,,,Sampige Layout ,,3:30PM to 6:00 AM
1647,,,Kabadhi Ground Govindarajnagara,,10:30AM to 1:30 PM
1648,,,GovindarajNagara,2ndDay ,6:00PM to 2:30 AM
1649,,,Sampige Layout  4th main to 1st cross,,8:30AM to 11:00 PM
1650,,,MC Layout  14th Cross to 7th Cross,Ist day ,10:00AM to 5:O0 PM
1651,,,Kaveripura Ramchandra Road Industrial Area,2nd Day ,4:00PM to 4:00 AM
1652,,,Muneshwaranagara Nandagokula High School,,4:00PM to 4:00 AM
1653,,,Rangananthpura 50%,,4:00PM to 6:00 AM
1654,,,Rangananthpura 50%,,6:00AM to 9:30 PM
1655,,,Nagarabhavi Main Road ,,11:00AM to 3:00 PM
1656,,,Corporation Colony Slum Board,,8:30AM to 11:30 PM
1657,,,23 Cross Govindarajnagara Slum,,8:30AM to 11:30 PM
1658,,,23 Cross Govindarajnagara Slum,,12:00AM to 12:30 PM
1659,,,MC Layout 2nd cross to 5th Cross ,,11:00AM to 6:00 PM
1660,North East 1,Malleswaram,"MD block 1st cross to 5th cross,  Vallipuram slum,  Margosa road 6th cross to 11th cross, Margosa road 10th Cross to 18th Cross, Margosa road 4th Main road",Day 1,03:00 to 10.30 AM
1661,,,"Malleshwaram South end road, 5th cross, 18th cross to 5th cross, Rangaathapura 1st temple street to 6th temple street, Coconut avenue road, Swimming pool extension, Vyalikaval, Gayathri Devi park, Sudheendra nagar,  Maruti Badavane,  Kodanda rama pura,  Kodanda rama pura Pipeline road 15th cross Malleshwaram, Dattatreya temple road ",,03:00 to 10.30 AM
1662,,,"4th main 6th Cross to 11th cross, 5th to 8th main 13th cross, 12th to 14th main, East park road18th cross to 15th cross, West part road 15th cross to 1oth cross,  ",,03:00 to 10.30 AM
1663,,,"BWSSB Staff quarters, BWSSB Offices, CCJF, Central stores, Borewell and pumping station Division office, Forest dept offices and staff quarters",,06.00 AM to 09.00AM
1664,,,"8th main to 11 th main,  13th cross  to 18th cross, 18th cross 6th main to 8th main",Day 2,01.00 PM to 04.00PM
1665,,Yeshwanthapura,"Brindavan nagar,  SBM colony, Sundar nagar,   JP park, BK nagar from 14th cross up to 12th cross,  LIC Colony, MS Ramaiah colony",Day 1,05.00 AM to 06.30 PM
1666,,,"Mathikere A, B, C, D cross, Netaki circle, netaji nagar, Mathikere village, Subbaiah hospital",,12.30 PM to 11.00 PM
1667,,,"HMT layout, Mohan kumar nagar, LCR school, Bombay dyeing showroom area",,12.30 PM to 10.00 PM
1668,,,"Yeshwanthapura, BK Nagar,
LN Pura, Railway parallel road
Bandappa garden, Sheriff slum
Gayatri slum
",,12:30 PM to 12.30 AM
1669,,,Yeshwanthapura railway station,Day 2,12.30 AM to 05.00 AM
1670,,,"Chennigappa layout,  Sahni temple,  KN Extension - Gokula 1st cross to 9th cross",,09.30 PM to 12.00 AM
1671,,,"Subedar palya, Diwanara palya
1st cross to 9th cross, Triveni road
Harake Anjaneya temple
Vinayaka slum
",,12.00 AM toi 05.00 AM
1672,,Sri ramapura,"Subramanya nagar 1st cross, Dodda rama mandira, AD block, Gandhi grama, ",Day 2,08.00 AM to 11.00 AM
1673,,,"Gayatri nagar- Doddarama mandira, Sudha wine store",,02.00 AM to 08.30 AM
1674,,,Gayatri nagar - LN pura - Nagappa block 1st to 4th cross,,11.00 AM to 02.00 AM
